MSNDATE,AIRCRAFT_TYPE,FULL_NAME,TOTAL_TONS,Count of WWII_ID
1944-12-24 00:00:00,Heavy Bomber,B-17 Flying Fortress,6404,378
1945-03-24 00:00:00,Heavy Bomber,B-17 Flying Fortress,10827,269
1944-08-24 00:00:00,Heavy Bomber,B-17 Flying Fortress,4953,218
1944-11-30 00:00:00,Heavy Bomber,B-17 Flying Fortress,4400,211
1944-09-17 00:00:00,Heavy Bomber,B-17 Flying Fortress,5498,210
1944-08-25 00:00:00,Heavy Bomber,B-17 Flying Fortress,5437,204
1945-03-21 00:00:00,Heavy Bomber,B-17 Flying Fortress,6390,202
1945-01-10 00:00:00,Heavy Bomber,B-17 Flying Fortress,2892,199
1944-10-07 00:00:00,Heavy Bomber,B-17 Flying Fortress,4643,191
1944-10-25 00:00:00,Heavy Bomber,B-17 Flying Fortress,4132,176
1945-04-15 00:00:00,Heavy Bomber,B-17 Flying Fortress,4016,175
1944-06-06 00:00:00,Heavy Bomber,B-17 Flying Fortress,5592,174
1944-09-11 00:00:00,Heavy Bomber,B-17 Flying Fortress,2876,173
1945-03-22 00:00:00,Heavy Bomber,B-17 Flying Fortress,5731,171
1944-10-06 00:00:00,Heavy Bomber,B-17 Flying Fortress,4057,167
1944-11-16 00:00:00,Heavy Bomber,B-17 Flying Fortress,6892,167
1944-08-14 00:00:00,Heavy Bomber,B-17 Flying Fortress,4607,161
1944-09-10 00:00:00,Heavy Bomber,B-17 Flying Fortress,4456,161
1944-08-15 00:00:00,Heavy Bomber,B-17 Flying Fortress,4123,159
1944-12-12 00:00:00,Heavy Bomber,B-17 Flying Fortress,3665,159
1944-11-02 00:00:00,Heavy Bomber,B-17 Flying Fortress,3497,158
1945-03-31 00:00:00,Heavy Bomber,B-17 Flying Fortress,4450,157
1944-07-25 00:00:00,Heavy Bomber,B-17 Flying Fortress,4414,155
1944-09-12 00:00:00,Heavy Bomber,B-17 Flying Fortress,3657,154
1944-10-02 00:00:00,Heavy Bomber,B-17 Flying Fortress,4136,153
1944-08-05 00:00:00,Heavy Bomber,B-17 Flying Fortress,3929,152
1944-11-21 00:00:00,Heavy Bomber,B-17 Flying Fortress,2724,152
1944-12-11 00:00:00,Heavy Bomber,B-24 Liberator,2362,152
1944-06-25 00:00:00,Heavy Bomber,B-24 Liberator,4378,150
1945-03-22 00:00:00,Medium Bomber,Martin B-26 Marauder,2976,150
